Anys;Mes;Valor
2014;Anual;96252
2014;Gener;0
2014;Febrer;0
2014;Març;99401
2014;Abril;99038
2014;Maig;98382
2014;Juny;97957
2014;Juliol;97437
2014;Agost;97109
2014;Setembre;96846
2014;Octubre;96330
2014;Novembre;95886
2014;Desembre;96252
2015;Anual;95537
2015;Gener;95745
2015;Febrer;96191
2015;Març;96385
2015;Abril;95581
2015;Maig;95173
2015;Juny;95290
2015;Juliol;95116
2015;Agost;95395
2015;Setembre;0
2015;Octubre;0
2015;Novembre;0
2015;Desembre;0
2016;Anual;102353
2016;Gener;94913
2016;Febrer;96059
2016;Març;96452
2016;Abril;96583
2016;Maig;96715
2016;Juny;97573
2016;Juliol;97528
2016;Agost;98497
2016;Setembre;99772
2016;Octubre;99584
2016;Novembre;100968
2016;Desembre;102353
2017;Anual;106688
2017;Gener;103330
2017;Febrer;103832
2017;Març;104686
2017;Abril;105281
2017;Maig;106430
2017;Juny;106649
2017;Juliol;106883
2017;Agost;106688
2017;Setembre;106295
2017;Octubre;106763
2017;Novembre;107143
2017;Desembre;106688
2018;Gener;107218
2018;Febrer;106856
2018;Març;106717
2018;Abril;106681
2018;Maig;106308
2018;Juny;106453
2018;Juliol;106308